oid,description
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.4,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.5,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.6,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.7,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.8,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.9,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.10,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.11,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.12,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.13,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.14,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.15,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.16,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.17,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.18,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.19,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.20,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.21,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.22,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.23,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.5.24,Getting this variable will return the command pending state of the outlet If a command is pending on the outlet the outletStatusCommandPending 1 value will be returned If there is not a command pending on the outlet the outletStatusNoCommandPending 2 will be returned
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.1,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.2,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.3,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.4,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.5,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.6,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.7,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.8,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.9,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.10,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.11,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.12,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.13,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.14,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.15,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.16,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.17,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.18,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.19,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.20,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.21,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.22,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.23,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.6.24,The bank associated with this outlet
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.1,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.2,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.3,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.4,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.5,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.6,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.7,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.8,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.9,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.10,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.11,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.12,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.13,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.14,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.15,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.16,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.17,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.18,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.19,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.20,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.21,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.22,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.23,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.7.24,Getting this OID will return the measured Outlet load for an Outlet Monitored Rack PDU in tenths of Amps For other models this OID is not supported
.1.3.6.1.4.1.318.1.1.12.4.1.1.0,Getting this OID will return powerSupply1Ok1 if power supply 1 is functioning normally If not functioning normally this OID will return powerSupply1Failed2
.1.3.6.1.4.1.318.1.1.12.4.1.2.0,Getting this OID will return powerSupply2Ok1 if power supply 2 is functioning normally If not functioning normally this OID will return powerSupply2Failed2 Metered Rack PDUs do not have a redundant powersupply
.1.3.6.1.4.1.318.1.1.12.4.1.3.0,Getting this OID will return powerSupply Alarm
.1.3.6.1.4.1.318.1.1.12.5.1.0,The size of the Status Bank Table
.1.3.6.1.4.1.318.1.1.12.5.3.0,The size of the Status Phase Table
.1.3.6.1.4.1.318.1.1.12.5.4.1.1.1,The index to the RACK PDU Phase entry
.1.3.6.1.4.1.318.1.1.12.5.4.1.2.1,Getting this OID will return the phase number
.1.3.6.1.4.1.318.1.1.12.5.4.1.3.1,Getting this OID will return the Phase load state phaseLoadNormal1 indicates that the Phase is operating properly within the rPDULoadPhaseConfigLowLoadThreshold and rPDULoadPhaseConfigNearOverloadThreshold OID values phaseLoadLow2 indicates that the Phase load has dropped below the rPDULoadPhaseConfigLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared phaseLoadNearOverload3 indicates that the Phase load is greater than or equal to the rPDULoadPhaseConfigNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared phaseLoadOverload4 indicates that the Phase load is greater than or equal to the rPDULoadPhaseConfigOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.5.0,The size of the Status Outlet Table
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.1,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.2,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.3,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.4,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.5,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.6,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.7,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.8,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.9,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.10,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.11,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.12,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.13,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.14,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.15,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.16,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.17,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.18,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.19,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.20,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.21,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.22,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.23,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.1.24,The index to the RACK PDU Outlet entry
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.1,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.2,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.3,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.4,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.5,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.6,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.7,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.8,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.9,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.10,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.11,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.12,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.13,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.14,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.15,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.16,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.17,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.18,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.19,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.20,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.21,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.22,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.23,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.2.24,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.1,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.2,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.3,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.4,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.5,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.6,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.7,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.8,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.9,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.10,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.11,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.12,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.13,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.14,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.5.6.1.3.15,Getting this OID will return the Outlet load state outletLoadNormal1 indicates that the Outlet is operating properly within the rPDUOutletConfigMonitoredLowLoadThreshold and rPDUOutletConfigMonitoredNearOverloadThreshold OID values outletLoadLow2 indicates that the Outlet load has dropped below the rPDUOutletConfigMonitoredLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadNearOverload3 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared outletLoadOverload4 indicates that the Outlet load is greater than or equal to the rPDUOutletConfigMonitoredOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
